time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0527,1.2541,-0.0155,0.164,1.276,0.022,0.085,0.0902,0.0554,48
0.1527,1.2581,-0.0132,0.1725,1.276,0.022,0.085,0.0959,0.0531,48
0.2527,1.2637,0.009,0.1199,1.276,0.022,0.085,0.0392,0.0558,48
0.3527,1.2523,-0.0067,0.1357,1.276,0.022,0.085,0.0629,0.0635,46
0.4527,1.2676,-0.015,0.1579,1.276,0.022,0.085,0.0821,0.055,48
0.5527,1.2559,-0.0004,0.1729,1.276,0.022,0.085,0.093,0.0546,48
0.6527,1.2422,-0.0004,0.1428,1.276,0.023,0.089,0.0677,0.0495,48
0.7527,1.2587,-0.004,0.122,1.317,0.007,0.15,0.0656,0.0602,48
0.8527,1.2526,0.013,0.1748,1.364,-0.022,0.159,0.1178,0.0517,48
0.9527,1.2517,0.0001,0.1319,1.353,-0.034,0.161,0.1108,0.0391,46
1.0527,1.27,-0.0118,0.1683,1.309,-0.016,0.167,0.0392,0.0448,47
1.1527,1.259,-0.0095,0.1212,1.27,0.005,0.185,0.0664,0.0562,48
1.2527,1.2542,-0.0027,0.1634,1.242,0.02,0.218,0.0604,0.0683,47
1.3527,1.2538,-0.0067,0.1345,1.234,0.029,0.269,0.1406,0.0585,48
1.4527,1.2545,0.0362,0.1551,1.236,0.034,0.342,0.1879,0.0647,47
1.5527,1.2444,0.0412,0.0717,1.239,0.038,0.434,0.3623,0.0615,48
1.6527,1.3029,0.0034,0.1819,1.248,0.035,0.548,0.3715,0.0588,46
1.7527,1.3173,-0.0164,0.2634,1.256,0.029,0.669,0.4127,0.0518,48
1.8527,1.3396,-0.0272,0.2516,1.261,0.023,0.806,0.5622,0.0521,44
1.9527,1.3344,-0.0429,0.296,1.265,0.021,0.929,0.64,0.0483,47
2.0527,1.3631,-0.0535,0.2637,1.268,0.025,1.058,0.8038,0.0564,47
2.1527,1.3182,-0.0458,0.2341,1.272,0.028,1.185,0.9549,0.0406,49
2.2527,1.301,-0.0416,0.2506,1.273,0.027,1.3,1.052,0.0465,47
2.3527,1.2989,-0.0222,0.2723,1.273,0.025,1.391,1.12,0.0426,48
2.4527,1.2862,0.0185,0.22,1.278,0.022,1.463,1.243,0.0527,48
2.5527,1.2397,0.0153,0.1687,1.277,0.025,1.514,1.3458,0.0611,47
2.6527,1.2025,0.0382,0.1401,1.271,0.03,1.548,1.4096,0.0578,47
2.7527,1.1854,0.0399,0.1778,1.264,0.032,1.566,1.3904,0.0486,46
2.8527,1.1928,0.0336,0.2565,1.262,0.024,1.577,1.3223,0.0518,48
2.9527,1.2012,0.0314,0.2847,1.26,0.024,1.576,1.2927,0.0527,46
3.0527,1.1976,0.0686,0.2308,1.257,0.027,1.574,1.3451,0.0462,47
3.1527,1.2029,0.0314,0.3195,1.26,0.029,1.573,1.2548,0.0564,47
3.2527,1.2038,0.0507,0.2986,1.262,0.033,1.568,1.2709,0.0464,46
3.3527,1.2155,0.0451,0.4208,1.262,0.032,1.564,1.1442,0.0507,46
3.4527,1.2042,0.0452,0.4717,1.263,0.028,1.563,1.0931,0.0462,45
3.5527,1.1948,0.0379,0.541,1.259,0.026,1.558,1.0191,0.0465,48
3.6527,1.2118,0.05,0.5673,1.253,0.032,1.554,0.9877,0.0437,47
3.7527,1.2344,0.0352,0.6655,1.253,0.036,1.55,0.8847,0.0521,48
3.8527,1.2313,0.0223,0.6923,1.259,0.035,1.547,0.8552,0.0402,46
3.9527,1.2354,0.0341,0.7653,1.263,0.033,1.545,0.7802,0.0475,48
4.0527,1.2573,0.0296,0.8583,1.26,0.03,1.541,0.6827,0.0471,48
4.1527,1.2514,0.0212,0.9202,1.253,0.044,1.539,0.6192,0.0437,48
4.2527,1.251,0.0197,0.9625,1.241,0.099,1.535,0.5781,0.0526,48
4.3527,1.2533,0.0244,1.0411,1.227,0.185,1.532,0.5172,0.0537,48
4.4527,1.2575,0.0242,1.0776,1.212,0.283,1.53,0.5231,0.0547,47
4.5527,1.2658,0.0199,1.1652,1.193,0.375,1.527,0.5122,0.0581,48
4.6527,1.2717,0.0189,1.1836,1.165,0.464,1.524,0.5704,0.052,48
4.7527,1.2628,0.0158,1.3062,1.124,0.547,1.521,0.5896,0.053,48
4.8527,1.2592,0.0155,1.2981,1.077,0.629,1.519,0.677,0.0588,48
4.9527,1.2664,0.0177,1.3305,1.026,0.71,1.517,0.7562,0.0579,48
5.0527,1.2817,0.0155,1.3693,0.972,0.779,1.517,0.8371,0.056,48
5.1527,1.2876,0.0057,1.467,0.919,0.843,1.518,0.9163,0.0598,48
5.2527,1.2615,0.014,1.4822,0.856,0.905,1.515,0.9794,0.0539,46
5.3527,1.2742,0.026,1.5308,0.792,0.964,1.515,1.0548,0.0608,49
5.4527,1.2726,0.0106,1.5549,0.718,1.024,1.515,1.1559,0.0549,48
5.5527,1.2659,0.0072,1.5719,0.646,1.077,1.516,1.2377,0.0496,48
5.6527,1.2792,0.0079,1.6501,0.57,1.122,1.514,1.3277,0.0501,48
5.7527,1.291,0.0177,1.6402,0.489,1.162,1.512,1.4032,0.0558,46
5.8527,1.3102,0.0185,1.6951,0.409,1.191,1.511,1.4902,0.0556,47
5.9527,1.2909,0.0232,1.6949,0.325,1.212,1.51,1.5428,0.049,48
6.0527,1.3089,0.0171,1.7861,0.237,1.228,1.508,1.6409,0.0555,48
6.1527,1.2877,0.0326,1.779,0.148,1.244,1.507,1.6853,0.0454,49
6.2527,1.2938,0.0296,1.7833,0.058,1.25,1.508,1.7585,0.0494,48
6.3527,1.2974,0.0168,1.7782,-0.037,1.246,1.506,1.8345,0.0541,48
6.4527,1.2959,0.0214,1.8031,-0.13,1.237,1.505,1.8973,0.0581,46
6.5527,1.3017,0.0194,1.806,-0.214,1.226,1.506,1.9604,0.055,48
6.6527,1.2974,0.0169,1.8005,-0.325,1.2,1.506,2.0294,0.049,48
6.7527,1.3016,0.0078,1.7976,-0.417,1.174,1.506,2.0973,0.0504,47
6.8527,1.2803,0.0138,1.7841,-0.504,1.143,1.506,2.1298,0.0491,47
6.9527,1.2835,0.0193,1.8009,-0.582,1.106,1.507,2.1788,0.0485,47
7.0527,1.294,0.0147,1.7838,-0.656,1.062,1.506,2.2308,0.0598,47
7.1527,1.2817,0.0292,1.8143,-0.733,1.019,1.504,2.266,0.0459,47
7.2527,1.3041,0.0224,1.8029,-0.808,0.971,1.505,2.3344,0.0533,48
7.3527,1.2813,0.0222,1.8009,-0.877,0.907,1.505,2.3513,0.0497,48
7.4527,1.285,0.0314,1.7756,-0.937,0.837,1.506,2.3788,0.0499,48
7.5527,1.2875,0.0287,1.8061,-0.995,0.765,1.505,2.4172,0.0596,48
7.6527,1.2905,0.0223,1.7862,-1.051,0.695,1.503,2.4527,0.0654,48
7.7527,1.2982,0.0139,1.7798,-1.105,0.624,1.503,2.4948,0.058,49
7.8527,1.2949,0.0266,1.7799,-1.151,0.544,1.504,2.5152,0.0572,48
7.9527,1.2977,0.0242,1.7828,-1.185,0.457,1.503,2.5356,0.0496,48
8.0527,1.2846,0.0147,1.8034,-1.216,0.372,1.504,2.5437,0.0515,47
8.1527,1.2959,0.0204,1.7911,-1.243,0.297,1.503,2.5701,0.0474,46
8.2527,1.296,0.0174,1.7682,-1.262,0.222,1.503,2.5799,0.057,47
8.3527,1.2736,0.0263,1.7468,-1.275,0.141,1.503,2.5628,0.0498,47
8.4527,1.2839,0.0354,1.7931,-1.279,0.055,1.503,2.5793,0.0434,48
8.5527,1.2796,0.027,1.795,-1.277,-0.039,1.504,2.5739,0.0555,49
8.6527,1.2711,0.0344,1.7619,-1.267,-0.14,1.506,2.5569,0.0511,48
8.7527,1.2798,0.0267,1.756,-1.259,-0.234,1.506,2.5643,0.0563,48
8.8527,1.2789,0.0266,1.7657,-1.244,-0.323,1.504,2.5604,0.0543,48
8.9527,1.2715,0.0351,1.7569,-1.22,-0.413,1.505,2.5439,0.0489,47
9.0527,1.283,0.0249,1.7548,-1.188,-0.5,1.505,2.5384,0.0542,48
9.1527,1.3041,0.0178,1.7546,-1.149,-0.585,1.502,2.5386,0.0523,48
9.2527,1.2845,0.0242,1.743,-1.101,-0.665,1.5,2.4949,0.0552,47
9.3527,1.289,0.0111,1.7177,-1.053,-0.732,1.499,2.4668,0.0525,48
9.4527,1.2819,0.0178,1.7295,-0.997,-0.792,1.499,2.4295,0.0589,49
9.5527,1.2728,0.0297,1.7056,-0.933,-0.853,1.501,2.3847,0.0541,46
9.6527,1.2739,0.0528,1.7416,-0.869,-0.915,1.501,2.3635,0.0589,48
9.7527,1.2414,0.0644,1.6927,-0.799,-0.976,1.501,2.2984,0.0507,47
9.8527,1.2589,0.0998,1.6967,-0.726,-1.029,1.5,2.2919,0.0553,48
9.9527,1.231,0.1227,1.7063,-0.643,-1.073,1.501,2.2324,0.0533,48
10.0527,1.2499,0.158,1.7197,-0.552,-1.112,1.504,2.215,0.052,48
10.1527,1.2322,0.2204,1.7142,-0.462,-1.153,1.506,2.1908,0.0494,48
10.2527,1.2319,0.2685,1.7238,-0.376,-1.191,1.505,2.1825,0.0483,49
10.3527,1.224,0.2991,1.7392,-0.291,-1.222,1.503,2.1598,0.0538,48
10.4527,1.2014,0.3462,1.6963,-0.208,-1.242,1.498,2.1326,0.0607,48
10.5527,1.1995,0.3772,1.6933,-0.12,-1.251,1.498,2.1049,0.0567,47
10.6527,1.1825,0.4232,1.6768,-0.034,-1.252,1.497,2.0781,0.0545,48
10.7527,1.1762,0.4534,1.7052,0.049,-1.247,1.494,2.051,0.0691,47
10.8527,1.1623,0.4997,1.7387,0.133,-1.239,1.496,2.0351,0.0612,48
10.9527,1.134,0.5156,1.7157,0.225,-1.229,1.499,1.9791,0.0608,48
11.0527,1.1121,0.5716,1.7106,0.316,-1.21,1.5,1.9627,0.0571,49
11.1527,1.0861,0.6086,1.6938,0.406,-1.181,1.499,1.9243,0.0575,48
11.2527,1.0684,0.641,1.7008,0.488,-1.14,1.498,1.8841,0.064,48
11.3527,1.036,0.6765,1.7222,0.569,-1.099,1.501,1.8492,0.0668,48
11.4527,1.0269,0.7026,1.6957,0.645,-1.057,1.501,1.811,0.0651,48
11.5527,0.99,0.7212,1.6773,0.717,-1.012,1.5,1.7635,0.0618,48
11.6527,0.9732,0.7537,1.6723,0.795,-0.965,1.501,1.7364,0.066,46
11.7527,0.96,0.7853,1.7125,0.871,-0.909,1.501,1.7098,0.0627,48
11.8527,0.9275,0.8258,1.7082,0.936,-0.83,1.498,1.6691,0.0632,48
11.9527,0.8975,0.8589,1.7133,0.991,-0.75,1.497,1.6261,0.0639,48
12.0527,0.8952,0.8846,1.7255,1.046,-0.68,1.5,1.5879,0.0676,48
12.1527,0.8547,0.8972,1.6838,1.096,-0.609,1.5,1.5364,0.0649,48
12.2527,0.8295,0.9283,1.6854,1.138,-0.526,1.5,1.4982,0.0754,48
12.3527,0.8125,0.958,1.7208,1.178,-0.44,1.5,1.4617,0.0825,48
12.4527,0.7691,0.9871,1.7226,1.214,-0.35,1.502,1.4263,0.0608,48
12.5527,0.7321,1.0005,1.7113,1.242,-0.26,1.502,1.3757,0.0627,48
12.6527,0.7014,1.0143,1.673,1.259,-0.171,1.503,1.3209,0.0636,49
12.7527,0.6771,1.0577,1.7235,1.269,-0.082,1.502,1.3032,0.0542,48
12.8527,0.6556,1.068,1.7228,1.271,0.006,1.502,1.2471,0.0563,47
12.9527,0.6296,1.1166,1.7029,1.266,0.099,1.5,1.2173,0.0635,47
13.0527,0.5824,1.1233,1.6868,1.251,0.192,1.501,1.1614,0.0564,48
13.1527,0.5624,1.1422,1.6929,1.23,0.284,1.5,1.1042,0.0643,48
13.2527,0.5131,1.1557,1.7075,1.205,0.366,1.501,1.07,0.0641,48
