time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0524,1.4261,0.0611,0.0996,1.458,0.03,0.086,0.0466,0.0919,47
0.1524,1.4246,0.0762,0.1178,1.458,0.03,0.086,0.0653,0.0858,48
0.2524,1.431,0.0651,0.1144,1.458,0.03,0.086,0.0527,0.0946,48
0.3524,1.4291,0.0781,0.1135,1.458,0.03,0.086,0.0625,0.0884,46
0.4524,1.429,0.074,0.1157,1.458,0.03,0.087,0.06,0.0916,46
0.5524,1.4155,0.0609,0.1519,1.458,0.03,0.086,0.0843,0.0912,48
0.6524,1.4284,0.0675,0.126,1.458,0.03,0.087,0.0617,0.0933,48
0.7524,1.4374,0.0743,0.1438,1.48,0.02,0.131,0.0702,0.0912,49
0.8524,1.4435,0.0718,0.1399,1.536,-0.014,0.154,0.127,0.09,47
0.9524,1.4275,0.0783,0.1139,1.548,-0.03,0.16,0.1684,0.0873,46
1.0524,1.4479,0.0588,0.1581,1.5195,-0.019,0.164,0.1059,0.0805,44
1.1524,1.4288,0.0621,0.1169,1.478,0.005,0.177,0.0964,0.0806,47
1.2524,1.4159,0.0859,0.0947,1.445,0.025,0.2,0.1251,0.081,45
1.3524,1.4277,0.0691,0.1228,1.425,0.0325,0.2395,0.1224,0.0772,48
1.4524,1.4345,0.0907,0.1336,1.418,0.04,0.3,0.1748,0.0844,47
1.5524,1.4217,0.0556,0.1371,1.421,0.048,0.382,0.2451,0.0966,46
1.6524,1.4181,0.0596,0.0605,1.428,0.049,0.48,0.4198,0.1244,45
1.7524,1.4322,0.0998,0.0552,1.4325,0.044,0.5905,0.5382,0.0838,46
1.8524,1.4708,0.0569,0.1152,1.433,0.038,0.718,0.6042,0.086,48
1.9524,1.5166,0.0349,0.1637,1.432,0.034,0.8535,0.6949,0.0718,48
2.0524,1.546,0.0301,0.2083,1.435,0.032,0.9855,0.7851,0.0649,46
2.1524,1.5624,0.0237,0.2362,1.438,0.031,1.1135,0.8861,0.0649,48
2.2524,1.5428,0.0157,0.2259,1.437,0.033,1.231,1.0108,0.07,48
2.3524,1.5403,0.0208,0.2567,1.435,0.032,1.331,1.0796,0.0747,48
2.4524,1.5164,0.0278,0.2746,1.439,0.029,1.417,1.1451,0.0765,49
2.5524,1.4871,0.0263,0.2485,1.452,0.031,1.483,1.235,0.0724,48
2.6524,1.4623,0.0719,0.2019,1.46,0.033,1.526,1.3247,0.0928,47
2.7524,1.4073,0.0524,0.2279,1.458,0.029,1.555,1.3283,0.0882,45
2.8524,1.3951,0.0753,0.1413,1.45,0.028,1.571,1.4315,0.0926,47
2.9524,1.3839,0.0826,0.2048,1.446,0.028,1.58,1.3777,0.0779,46
3.0524,1.4163,0.1027,0.3368,1.447,0.032,1.582,1.2476,0.0736,47
3.1524,1.379,0.0838,0.2582,1.447,0.037,1.58,1.3244,0.0991,44
3.2524,1.3703,0.1074,0.3115,1.446,0.041,1.577,1.2695,0.0721,49
3.3524,1.3947,0.0939,0.3357,1.446,0.043,1.57,1.2365,0.0791,46
3.4524,1.3971,0.0919,0.3459,1.45,0.045,1.565,1.2212,0.0727,48
3.5524,1.3812,0.1072,0.3726,1.455,0.045,1.56,1.1913,0.0833,45
3.6524,1.3921,0.0938,0.4425,1.4675,0.054,1.5365,1.0973,0.0628,46
3.7524,1.391,0.0933,0.4991,1.482,0.113,1.4995,1.0047,0.0692,48
3.8524,1.3942,0.1067,0.53,1.4855,0.2275,1.4515,0.9338,0.0591,48
3.9524,1.4073,0.099,0.5925,1.4725,0.3665,1.4015,0.8546,0.0681,48
4.0524,1.4056,0.0953,0.6653,1.4455,0.505,1.3505,0.7993,0.0526,48
4.1524,1.4242,0.1028,0.7432,1.4095,0.6425,1.3035,0.7781,0.0541,48
4.2524,1.4151,0.0795,0.7861,1.3645,0.7785,1.2605,0.8463,0.0657,48
4.3524,1.4156,0.0646,0.8528,1.313,0.906,1.221,0.9241,0.0584,47
4.4524,1.4238,0.0602,0.9198,1.2585,1.0165,1.1865,1.0064,0.0612,48
4.5524,1.4354,0.0655,0.9792,1.204,1.113,1.155,1.0871,0.0512,47
4.6524,1.4357,0.0687,1.0373,1.146,1.202,1.128,1.1733,0.0566,47
4.7524,1.4382,0.0482,1.1435,1.083,1.281,1.107,1.2835,0.0566,45
4.8524,1.4373,0.0422,1.1975,1.013,1.351,1.09,1.38,0.064,49
4.9524,1.422,0.0231,1.2708,0.938,1.4075,1.08,1.4789,0.0681,48
5.0524,1.4159,0.0403,1.3037,0.86,1.451,1.076,1.5332,0.066,47
5.1524,1.4302,0.0598,1.3623,0.765,1.488,1.077,1.6011,0.0601,47
5.2524,1.428,0.0414,1.3825,0.672,1.51,1.085,1.6783,0.0663,47
5.3524,1.4205,0.0629,1.4697,0.5705,1.518,1.098,1.7256,0.0634,48
5.4524,1.4164,0.0565,1.5173,0.456,1.5075,1.118,1.7853,0.0597,48
5.5524,1.4205,0.0577,1.5461,0.333,1.4765,1.1465,1.8318,0.0678,48
5.6524,1.4056,0.0486,1.5431,0.218,1.4305,1.178,1.8584,0.0652,48
5.7524,1.4056,0.0573,1.6192,0.101,1.368,1.212,1.8936,0.0663,49
5.8524,1.4267,0.0505,1.6131,-0.0125,1.297,1.2485,1.9385,0.0663,48
5.9524,1.4605,0.0806,1.6694,-0.118,1.221,1.288,1.9844,0.06,47
6.0524,1.469,0.0837,1.7008,-0.22,1.13,1.3275,2.0216,0.0574,48
6.1524,1.4476,0.0762,1.7139,-0.32,1.025,1.369,2.0356,0.0529,48
6.2524,1.4578,0.0798,1.8074,-0.42,0.911,1.412,2.0913,0.0555,48
6.3524,1.4517,0.0808,1.7625,-0.52,0.794,1.452,2.1196,0.0582,47
6.4524,1.4447,0.0876,1.7738,-0.619,0.667,1.494,2.1616,0.0642,47
6.5524,1.4509,0.0786,1.7762,-0.723,0.526,1.538,2.2322,0.0616,49
6.6524,1.4257,0.0711,1.7805,-0.8205,0.387,1.5795,2.2772,0.0591,48
6.7524,1.4079,0.0624,1.7562,-0.905,0.2455,1.6165,2.3243,0.0665,46
6.8524,1.4263,0.0667,1.7708,-0.9815,0.0995,1.6515,2.411,0.0672,48
6.9524,1.4126,0.0715,1.7813,-1.057,-0.0455,1.686,2.4742,0.067,48
7.0524,1.4204,0.0785,1.7843,-1.132,-0.19,1.713,2.5674,0.0606,47
7.1524,1.4086,0.0637,1.763,-1.203,-0.331,1.737,2.6413,0.0632,47
